,mass,age,temperature,luminosity,radius,gravity,mko_y,mko_j,mko_h,mko_k,mko_lp,mko_mp,w1,w2,w3,w4,irac_ch1,irac_ch2
35,0.03,3.88815518,653.14828061,-5.87821115,0.09001099,5.00694443,18.06658799,16.95052986,17.76445111,18.16564428,14.78569403,13.19726213,16.70697968,13.44597793,12.6904695,11.79914717,15.87338806,13.44649427
36,0.03,4.92388263,608.56286195,-6.00775835,0.08931625,5.01367453,18.51302235,17.39698884,18.26580382,18.78208152,15.06755119,13.3819874,17.08001785,13.65358511,12.90752384,11.92983107,16.19541366,13.65323683
37,0.03,6.23550734,567.53913695,-6.13517051,0.08868572,5.01982814,18.97460159,17.87158231,18.78742172,19.45322851,15.36648442,13.58218545,17.4722684,13.87147342,13.1352331,12.06333212,16.53632634,13.87010652
38,0.03,7.89652287,532.69767448,-6.25085585,0.08811232,5.02546224,19.39039838,18.30640264,19.2651567,20.09091509,15.6530947,13.77460714,17.84943999,14.07938827,13.33965891,12.18357743,16.86758586,14.07716166
39,0.03,10.0,502.71280097,-6.35676488,0.08757837,5.03074172,19.79680872,18.76053397,19.75119512,20.7567793,15.92234133,13.96574911,18.20245053,14.2808741,13.52963683,12.29146821,17.18199996,14.27638561
0,0.041,0.001,2883.28227158,-1.77532952,0.51998359,3.61922094,7.78255873,7.15076715,6.63562548,6.28202927,5.82020114,5.81069152,6.05707303,5.79295724,5.58009199,5.43817173,5.93297419,5.78696396
1,0.041,0.00126638017,2881.93609399,-1.81254852,0.49862908,3.65564378,7.87615546,7.24415217,6.72901817,6.37492889,5.91234848,5.90380072,6.149555,5.88576098,5.67237637,5.53102051,6.02520883,5.87972207
2,0.041,0.00160371874,2881.23488286,-1.83139029,0.4881736,3.67404968,7.92348601,7.29134214,6.77617639,6.42186553,5.95891701,5.95091791,6.19632562,5.93270458,5.71905836,5.57799786,6.07183463,5.92663774
3,0.041,0.00203091762,2880.81006626,-1.84167693,0.48256633,3.6840847,7.94935119,7.31711221,6.8019285,6.44749323,5.98433339,5.97664913,6.22186514,5.95833624,5.74453857,5.60364079,6.09728738,5.95225285
4,0.041,0.00257191381,2880.30658568,-1.85298883,0.47648364,3.69510232,7.97780574,7.34544658,6.830243,6.47566761,6.01226629,6.00494055,6.24994409,5.98651436,5.77254262,5.63182494,6.12526451,5.98041172
5,0.041,0.00325702066,2879.58171085,-1.87015276,0.46739801,3.71182447,8.02093495,7.3883899,6.87312736,6.51836733,6.0546237,6.04787227,6.2925324,6.02926544,5.81504162,5.67460445,6.16769291,6.02313123
6,0.041,0.00412462638,2878.21338214,-1.90093812,0.45155591,3.74177539,8.09828569,7.46535072,6.9499434,6.59487883,6.13052316,6.12488188,6.36889247,6.10592766,5.89124244,5.75132319,6.24373854,6.09973014
